"species_code","alt_full_spp_code","n_locations","scientific_name","american_english_name","taxonomy_version","taxonomic_sort_order"
"mouwar",NA,"1","Geothlypis philadelphia","Mourning Warbler",2023,33479
"kenwar",NA,"10","Geothlypis formosa","Kentucky Warbler",2023,33484
"comyel",NA,"564","Geothlypis trichas","Common Yellowthroat",2023,33499
"hoowar",NA,"90","Setophaga citrina","Hooded Warbler",2023,33528
"amered",NA,"150","Setophaga ruticilla","American Redstart",2023,33529
"kirwar",NA,"1","Setophaga kirtlandii","Kirtland's Warbler",2023,33530
"camwar",NA,"87","Setophaga tigrina","Cape May Warbler",2023,33531
"cerwar",NA,"16","Setophaga cerulea","Cerulean Warbler",2023,33532
"norpar",NA,"488","Setophaga americana","Northern Parula",2023,33534
"magwar",NA,"46","Setophaga magnolia","Magnolia Warbler",2023,33550
"babwar",NA,"24","Setophaga castanea","Bay-breasted Warbler",2023,33554
"bkbwar",NA,"35","Setophaga fusca","Blackburnian Warbler",2023,33555
"yelwar",NA,"677","Setophaga petechia","Yellow Warbler",2023,33557
"yelwar1","yelwar","3","Setophaga petechia [aestiva Group]","Yellow Warbler (Northern)",2023,33558
"yelwar2","yelwar","2","Setophaga petechia [petechia Group]","Yellow Warbler (Golden)",2023,33578
"chswar",NA,"27","Setophaga pensylvanica","Chestnut-sided Warbler",2023,33599
"bkpwar",NA,"50","Setophaga striata","Blackpoll Warbler",2023,33601
"btbwar",NA,"122","Setophaga caerulescens","Black-throated Blue Warbler",2023,33604
"palwar",NA,"1086","Setophaga palmarum","Palm Warbler",2023,33611
"palwar3","palwar","19","Setophaga palmarum palmarum","Palm Warbler (Western)",2023,33612
"palwar4","palwar","50","Setophaga palmarum hypochrysea","Palm Warbler (Yellow)",2023,33613
"pinwar",NA,"8188","Setophaga pinus","Pine Warbler",2023,33616
"yerwar",NA,"15686","Setophaga coronata","Yellow-rumped Warbler",2023,33622
"myrwar","yerwar","558","Setophaga coronata coronata","Yellow-rumped Warbler (Myrtle)",2023,33623
"audwar","yerwar","209","Setophaga coronata auduboni","Yellow-rumped Warbler (Audubon's)",2023,33624
"yerwar3","yerwar","38","Setophaga coronata coronata x auduboni","Yellow-rumped Warbler (Myrtle x Audubon's)",2023,33625
"x00461",NA,"2","Setophaga palmarum x coronata","Palm x Yellow-rumped Warbler (hybrid)",2023,33630
"yetwar",NA,"964","Setophaga dominica","Yellow-throated Warbler",2023,33631
"yetwar1","yetwar","1","Setophaga dominica albilora","Yellow-throated Warbler (albilora)",2023,33632
"yetwar2","yetwar","1","Setophaga dominica dominica/stoddardi","Yellow-throated Warbler (dominica/stoddardi)",2023,33633
"prawar",NA,"199","Setophaga discolor","Prairie Warbler",2023,33643
"barwar",NA,"1","Setophaga subita","Barbuda Warbler",2023,33649
"grawar",NA,"4","Setophaga graciae","Grace's Warbler",2023,33651
"btywar",NA,"123","Setophaga nigrescens","Black-throated Gray Warbler",2023,33657
"towwar",NA,"2210","Setophaga townsendi","Townsend's Warbler",2023,33663
"x00624",NA,"1","Setophaga coronata x townsendi","Yellow-rumped x Townsend's Warbler (hybrid)",2023,33664
"herwar",NA,"25","Setophaga occidentalis","Hermit Warbler",2023,33667
"x00059",NA,"6","Setophaga townsendi x occidentalis","Townsend's x Hermit Warbler (hybrid)",2023,33670
"gchwar",NA,"18","Setophaga chrysoparia","Golden-cheeked Warbler",2023,33674
"btnwar",NA,"87","Setophaga virens","Black-throated Green Warbler",2023,33675
"rucwar",NA,"1","Basileuterus rufifrons","Rufous-capped Warbler",2023,33680
"gcrwar",NA,"1","Basileuterus culicivorus","Golden-crowned Warbler",2023,33704
"canwar",NA,"3","Cardellina canadensis","Canada Warbler",2023,33798
"wlswar",NA,"339","Cardellina pusilla","Wilson's Warbler",2023,33799
"wilwar1","wlswar","1","Cardellina pusilla pileolata","Wilson's Warbler (pileolata)",2023,33800
"wilwar2","wlswar","2","Cardellina pusilla pusilla","Wilson's Warbler (pusilla)",2023,33801
"wilwar3","wlswar","6","Cardellina pusilla chryseola","Wilson's Warbler (chryseola)",2023,33802
"refwar",NA,"1","Cardellina rubrifrons","Red-faced Warbler",2023,33803
"paired",NA,"15","Myioborus pictus","Painted Redstart",2023,33810
"warble",NA,"23","Parulidae sp.","new world warbler sp.",2023,33850
"heptan",NA,"11","Piranga flava","Hepatic Tanager",2023,33866
"sumtan",NA,"496","Piranga rubra","Summer Tanager",2023,33885
"scatan",NA,"156","Piranga olivacea","Scarlet Tanager",2023,33889
"westan",NA,"267","Piranga ludoviciana","Western Tanager",2023,33892
"flctan",NA,"1","Piranga bidentata","Flame-colored Tanager",2023,33895
"rehtan2",NA,"1","Piranga rubriceps","Red-hooded Tanager",2023,33910
"norcar",NA,"75295","Cardinalis cardinalis","Northern Cardinal",2023,33967
"norcar1","norcar","104","Cardinalis cardinalis [cardinalis Group]","Northern Cardinal (Common)",2023,33968
"pyrrhu",NA,"972","Cardinalis sinuatus","Pyrrhuloxia",2023,33987
"yelgro",NA,"5","Pheucticus chrysopeplus","Yellow Grosbeak",2023,33993
"robgro",NA,"2918","Pheucticus ludovicianus","Rose-breasted Grosbeak",2023,34009
"bkhgro",NA,"993","Pheucticus melanocephalus","Black-headed Grosbeak",2023,34011
"y00334",NA,"125","Pheucticus ludovicianus/melanocephalus","Rose-breasted/Black-headed Grosbeak",2023,34015
"blubun",NA,"10","Cyanocompsa parellina","Blue Bunting",2023,34046
"blugrb1",NA,"271","Passerina caerulea","Blue Grosbeak",2023,34051
"lazbun",NA,"154","Passerina amoena","Lazuli Bunting",2023,34059
"indbun",NA,"1206","Passerina cyanea","Indigo Bunting",2023,34060
"ixlbun",NA,"3","Passerina amoena x cyanea","Lazuli x Indigo Bunting (hybrid)",2023,34062
"orbbun1",NA,"2","Passerina leclancherii","Orange-breasted Bunting",2023,34065
"varbun",NA,"3","Passerina versicolor","Varied Bunting",2023,34068
"paibun",NA,"937","Passerina ciris","Painted Bunting",2023,34074
"dickci",NA,"169","Spiza americana","Dickcissel",2023,34080
"reccar",NA,"30","Paroaria coronata","Red-crested Cardinal",2023,34083
"yebcar",NA,"5","Paroaria capitata","Yellow-billed Cardinal",2023,34096
"tanage",NA,"5","Thraupidae sp. (tanager sp.)","tanager sp. (Thraupidae sp.)",2023,34680
"saffin",NA,"10","Sicalis flaveola","Saffron Finch",2023,34918
"yellow4",NA,"1","Sicalis sp.","yellow-finch sp.",2023,34936
"blbgra1",NA,"1","Volatinia jacarina","Blue-black Grassquit",2023,34951
"whcsee1",NA,"1","Sporophila morelleti","Morelet's Seedeater",2023,35016
"whcsee2",NA,"1","Sporophila torqueola","Cinnamon-rumped Seedeater",2023,35019
"whcsee",NA,"3","Sporophila morelleti/torqueola","Morelet's/Cinnamon-rumped Seedeater",2023,35022
"grasal2",NA,"1","Saltator grandis","Cinnamon-bellied Saltator",2023,35246
"passer1",NA,"1","Passeriformes sp.","passerine sp.",2023,35292
"bird1",NA,"5","Aves sp.","bird sp.",2023,35293
